years;Province_Code;Province_name;General_Total-Total;General_Total-Male;General_Total-Female;Illiterate-Total;Illiterate-Male;Illiterate-Female;_Literate_without_a_diploma-Total;_Literate_without_a_diploma-Male;_Literate_without_a_diploma-Female;Primary_school-Total;Primary_school-Male;Primary_school-Female;Primary_education-Total;Primary_education-Male;Primary_education-Female;Lower_secondary_school-Total;Lower_secondary_school-Male;Lower_secondary_school-Female;Upper_secondary_school-Total;Upper_secondary_school-Male;Upper_secondary_school-Female;Universities_and_other_higher_educational_institutions-Total;Universities_and_other_higher_educational_institutions-Male;Universities_and_other_higher_educational_institutions-Female;Master_(Including_5_or_6_Years_Faculties)-Total;Master_(Including_5_or_6_Years_Faculties)-Male;Master_(Including_5_or_6_Years_Faculties)-Female;Doctorate-Total;Doctorate-Male;Doctorate-Female;_Unknown-Total;_Unknown-Male;_Unknown-Female
2008;1;Adana; 1 461 922;  719 630;  742 292;  151 423;  30 231;  121 192;  88 124;  38 233;  49 891;  469 036;  230 288;  238 748;  164 036;  85 990;  78 046;  84 299;  51 502;  32 797;  300 221;  163 672;  136 549;  93 801;  55 790;  38 011;  4 705;  2 676;  2 029;  1 505;   974;   531;  104 772;  60 274;  44 498
2008;2;Adıyaman;  392 053;  192 557;  199 496;  70 507;  15 080;  55 427;  33 368;  13 510;  19 858;  107 482;  55 086;  52 396;  57 856;  30 298;  27 558;  16 956;  12 428;  4 528;  62 867;  39 780;  23 087;  13 952;  9 904;  4 048;   506;   377;   129;   103;   80;   23;  28 456;  16 014;  12 442
2008;3;Afyonkarahisar;  520 671;  255 480;  265 191;  48 353;  7 670;  40 683;  30 108;  10 469;  19 639;  228 018;  108 773;  119 245;  60 563;  30 772;  29 791;  26 293;  19 036;  7 257;  82 334;  50 919;  31 415;  23 466;  15 655;  7 811;  1 408;   878;   530;   412;   315;   97;  19 716;  10 993;  8 723
2008;4;Ağrı;  312 570;  163 321;  149 249;  66 651;  16 229;  50 422;  57 594;  27 583;  30 011;  57 624;  36 339;  21 285;  28 685;  19 143;  9 542;  5 175;  3 956;  1 219;  27 576;  21 154;  6 422;  5 404;  3 745;  1 659;   416;   313;   103;   111;   69;   42;  63 334;  34 790;  28 544
2008;5;Amasya;  251 509;  124 357;  127 152;  21 599;  4 742;  16 857;  18 221;  6 207;  12 014;  95 430;  44 449;  50 981;  27 658;  14 094;  13 564;  12 249;  8 489;  3 760;  42 760;  25 982;  16 778;  14 956;  10 129;  4 827;   494;   341;   153;   103;   64;   39;  18 039;  9 860;  8 179
2008;6;Ankara; 3 508 082; 1 733 327; 1 774 755;  153 179;  23 440;  129 739;  118 282;  38 030;  80 252;  977 183;  423 991;  553 192;  328 453;  174 037;  154 416;  245 614;  148 782;  96 832;  930 776;  503 239;  427 537;  442 315;  249 167;  193 148;  44 598;  26 367;  18 231;  16 239;  9 843;  6 396;  251 443;  136 431;  115 012
2008;7;Antalya; 1 400 342;  707 586;  692 756;  83 004;  15 027;  67 977;  57 337;  22 430;  34 907;  539 306;  264 171;  275 135;  144 638;  75 148;  69 490;  75 481;  47 747;  27 734;  273 733;  150 182;  123 551;  113 052;  66 714;  46 338;  4 817;  2 886;  1 931;  1 188;   758;   430;  107 786;  62 523;  45 263
2008;8;Artvin;  131 780;  65 734;  66 046;  11 254;  1 930;  9 324;  7 990;  2 697;  5 293;  47 708;  21 743;  25 965;  12 290;  6 469;  5 821;  7 950;  5 597;  2 353;  27 549;  17 408;  10 141;  7 024;  4 740;  2 284;   269;   180;   89;   48;   34;   14;  9 698;  4 936;  4 762
2008;9;Aydın;  755 596;  375 019;  380 577;  67 917;  13 250;  54 667;  43 449;  17 803;  25 646;  319 426;  162 253;  157 173;  75 694;  39 352;  36 342;  32 508;  20 551;  11 957;  119 872;  64 658;  55 214;  49 074;  29 339;  19 735;  1 697;  1 022;   675;   552;   361;   191;  45 407;  26 430;  18 977
2008;10;Balıkesir;  908 525;  450 463;  458 062;  68 543;  16 054;  52 489;  48 105;  21 137;  26 968;  389 976;  180 390;  209 586;  83 486;  43 821;  39 665;  48 273;  30 842;  17 431;  157 114;  90 412;  66 702;  60 906;  38 053;  22 853;  2 719;  1 723;   996;   589;   407;   182;  48 814;  27 624;  21 190
