Province_name;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;;;
Adana;2955;2926;2922;2719;2538;2629;2862;3042;3546;3445;3841;3878;4057;4109;4329;3928;3803;4432;4951;4332;5555;5578;4750;5620;;;
Adıyaman;506;552;488;457;438;387;419;417;504;435;422;467;576;489;587;484;480;542;623;551;798;844;633;790;;;
Afyonkarahisar;1351;1377;1368;1215;1076;948;912;932;961;1133;1010;927;907;967;981;978;951;1091;1211;979;1324;1321;1556;1669;;;
Ağrı;82;78;90;101;101;107;126;114;116;114;151;160;191;212;200;189;172;252;258;252;357;365;433;394;;;
Amasya;320;320;350;374;377;312;342;361;377;379;386;393;462;447;434;409;377;476;448;463;620;758;641;651;;;
Ankara;7870;7973;7389;7327;8232;8132;8202;8894;9998;10260;10491;11083;11221;11359;10950;10590;10748;11818;13399;11195;14818;15409;14531;15438;;;
Antalya;2907;3210;3049;2941;3206;3517;3686;3905;4870;5290;5621;5347;5712;6212;6210;5687;5899;6508;7167;6388;7849;8065;7991;8918;;;
Artvin;117;160;125;150;123;132;127;126;148;155;157;131;172;171;140;149;130;201;216;158;225;231;234;243;;;
Aydın;1693;1706;1626;1571;1609;1617;1669;1851;2087;2129;2104;2064;2128;2142;2488;2228;2468;2538;2789;2330;2929;3163;3120;3113;;;
Balıkesir;1725;1707;1870;1856;1903;1774;1829;1763;2042;2194;2259;2305;2274;2352;2421;2261;2309;2666;2986;2416;3064;3153;3086;3342;;;
Bilecik;148;184;199;171;179;218;240;228;272;317;327;325;337;342;312;334;310;378;363;389;431;472;491;498;;;
Bingöl;133;154;152;153;141;158;137;135;156;156;83;132;135;134;122;110;118;159;160;162;224;238;228;270;;;
Bitlis;23;23;44;42;34;34;52;38;55;66;50;85;79;76;77;97;71;119;129;130;200;184;207;255;;;
Bolu;292;294;335;310;276;315;283;297;347;371;365;435;450;400;366;372;382;508;530;510;645;592;595;741;;;
Burdur;424;398;429;372;350;368;333;373;424;426;416;402;415;383;473;383;369;424;448;436;538;562;632;612;;;
Bursa;2754;2748;2891;2664;3047;3049;3200;3298;3679;4236;4660;4993;4835;5141;5216;5356;5242;5755;5977;5343;6813;7051;6860;7367;;;
Çanakkale;500;577;597;527;568;559;627;664;745;802;882;814;727;877;966;999;947;940;1079;872;1312;1430;1410;1380;;;
Çankırı;180;204;198;168;182;167;179;166;191;207;209;205;204;182;212;197;230;297;257;218;303;310;327;326;;;
Çorum;829;847;796;793;727;627;651;704;797;834;769;649;857;748;875;675;716;739;895;745;1109;1096;1181;1198;;;
Denizli;1692;1805;1801;1780;1965;1800;1749;1893;2155;2214;2101;2245;2250;2238;2311;2250;2193;2259;2615;2322;2809;3085;2766;3053;;;
Diyarbakır;312;387;461;466;511;445;458;538;632;679;637;774;773;798;764;719;838;1005;1248;1061;1592;1758;1626;1912;;;
Edirne;484;498;459;566;554;529;527;579;702;674;669;562;603;722;735;645;649;761;846;734;918;926;891;987;;;
Elazığ;545;659;610;582;595;574;493;578;681;608;532;664;670;682;600;511;539;636;771;733;976;1018;935;1082;;;
Erzincan;271;267;240;211;210;201;215;213;276;237;217;272;266;265;223;318;270;354;345;224;288;408;395;455;;;
Erzurum;304;362;328;314;313;319;336;338;407;434;448;463;450;453;541;420;402;515;632;544;698;816;799;825;;;
Eskişehir;1235;1203;1184;1079;1195;1274;1358;1378;1524;1595;1573;1580;1656;1729;1684;1679;1847;1865;2053;1888;2390;2485;2538;2658;;;
Gaziantep;1620;1757;1806;1580;1704;1553;1509;1621;1942;2228;2283;2336;2424;2524;2574;2187;2458;3011;3215;3006;3780;4438;3726;4471;;;
Giresun;529;501;583;563;400;432;505;477;469;532;492;493;482;505;570;501;577;580;717;638;794;726;739;785;;;
Gümüşhane;149;148;123;97;89;86;88;96;92;99;52;91;104;91;81;77;84;88;101;85;146;145;121;117;;;
Hakkari;15;12;28;20;19;26;30;30;37;36;30;35;39;31;47;40;53;46;70;71;114;124;109;128;;;
Hatay;1605;1556;1627;1558;1575;1439;1496;1691;1745;2002;1917;2035;2094;2126;2209;2125;2261;2524;2942;2513;3244;3421;2419;3456;;;
Isparta;550;577;581;559;593;493;501;484;563;541;633;647;655;704;628;582;589;740;784;699;791;859;937;886;;;
Mersin;2511;2533;2416;2511;2575;2313;2462;2747;2961;3079;3246;3187;3400;3558;3681;3518;3715;4191;4435;4138;4930;5049;4785;5206;;;
İstanbul;18625;19751;18163;18870;21124;20679;20323;20703;24492;24952;25884;26825;27024;28907;28023;27121;28175;30619;32836;27616;35060;35262;33600;35338;;;
İzmir;8200;8104;7598;8033;8647;8820;8563;9531;10475;10986;11149;10868;10789;11069;11481;11049;10939;12053;12900;10787;13451;13864;13701;13872;;;
