year;province_name;general_total;illiterate_total;illiterate_ratio;literate_without_diploma_total;literate_without_diploma_ratio;primary_school_total;primary_school_ratio;primary_education_total;primary_education_ratio;lower_secondary_school_total;lower_secondary_school_ratio;upper_secondary_school_total;upper_secondary_school_ratio;universities_and_other_higher_educational_institutions_total;universities_and_other_higher_educational_institutions_ratio;master_total;master_ratio;doctorate_total;doctorate_ratio;unknown_total;unknown_ratio
2018;Adana;1649850;69399;4.21;80045;4.85;327075;19.82;233511;14.15;248157;15.04;410691;24.89;245469;14.88;21637;1.31;3992;0.24;9874;0.60
2018;Adıyaman;440671;33577;7.62;21377;4.85;80945;18.37;75623;17.16;70883;16.09;94520;21.45;57219;12.98;3991;0.91;769;0.17;1767;0.40
2018;Afyonkarahisar;557333;16768;3.01;24414;4.38;159109;28.55;88582;15.89;75755;13.59;118642;21.29;63534;11.40;5831;1.05;1291;0.23;3407;0.61
2018;Ağrı;347752;32601;9.37;43025;12.37;66728;19.19;53354;15.34;66661;19.17;49207;14.15;29596;8.51;1740;0.50;353;0.10;4487;1.29
2018;Amasya;272232;9368;3.44;12710;4.67;72131;26.50;34493;12.67;35108;12.90;63546;23.34;40111;14.73;3108;1.14;571;0.21;1086;0.40
2018;Ankara;4238964;89896;2.12;89201;2.10;690819;16.30;428692;10.11;549522;12.96;1209863;28.54;974756;23.00;140171;3.31;33831;0.80;32213;0.76
2018;Antalya;1828389;23002;1.26;70394;3.85;388436;21.24;255012;13.95;244088;13.35;471787;25.80;321905;17.61;26400;1.44;5112;0.28;22253;1.22
2018;Artvin;144979;5275;3.64;6264;4.32;32845;22.66;15914;10.98;19122;13.19;41198;28.42;21978;15.16;1495;1.03;360;0.25;528;0.36
2018;Aydın;879483;19063;2.17;43031;4.89;235359;26.76;123669;14.06;108745;12.36;195605;22.24;133656;15.20;10649;1.21;2268;0.26;7438;0.85
2018;Balıkesir;1011745;23296;2.30;43215;4.27;290738;28.74;118607;11.72;122091;12.07;236740;23.40;155825;15.40;11484;1.14;2124;0.21;7625;0.75
2018;Bilecik;179155;3630;2.03;3711;2.07;45384;25.33;24586;13.72;23491;13.11;49403;27.58;26092;14.56;1836;1.02;398;0.22;624;0.35
2018;Bingöl;205247;15991;7.79;16475;8.03;33082;16.12;35934;17.51;29067;14.16;45902;22.36;25423;12.39;1854;0.90;404;0.20;1115;0.54
2018;Bitlis;234410;17570;7.50;22374;9.54;37603;16.04;42723;18.23;41471;17.69;42355;18.07;27416;11.70;1622;0.69;356;0.15;920;0.39
2018;Bolu;250748;8604;3.43;8822;3.52;62377;24.88;30163;12.03;28900;11.53;68499;27.32;37482;14.95;3726;1.49;1072;0.43;1103;0.44
2018;Burdur;220688;5974;2.71;8636;3.91;63491;28.77;27053;12.26;26830;12.16;51360;23.27;32608;14.78;2872;1.30;709;0.32;1155;0.52
2018;Bursa;2303469;62471;2.71;63822;2.77;497343;21.59;337757;14.66;331734;14.40;591122;25.66;364581;15.83;30069;1.31;4948;0.21;19622;0.85
2018;Çanakkale;449213;6725;1.50;19393;4.32;132840;29.57;48338;10.76;50066;11.15;107610;23.96;74074;16.49;6608;1.47;1834;0.41;1725;0.38
2018;Çankırı;173771;7661;4.41;7388;4.25;46902;26.99;24223;13.94;22731;13.08;41495;23.88;20594;11.85;1558;0.90;407;0.23;812;0.47
